MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.58643	Sec	5/8/2017 6:19:50 PM
Time	Axial Displacement	Axial Force
Sec	mm	N
45.515137	-26.405207	0.67549068
45.615234	-26.405684	0.67760408
45.715332	-26.405603	0.66416806
45.81543	-26.405769	0.66951972
45.915527	-26.405914	0.66240174
46.015625	-26.406357	0.65864885
46.115723	-26.407202	0.64127403
46.21582	-26.407536	0.63514978
46.315918	-26.406321	0.65996206
46.416016	-26.406195	0.67694205
46.516113	-26.406099	0.6677435
46.616211	-26.403963	0.7073186
46.716309	-26.404184	0.70479077
46.816406	-26.404779	0.67802781
46.916504	-26.404648	0.6764245
47.016602	-26.405388	0.66390562
47.116699	-26.404884	0.66661644
47.216797	-26.404915	0.6639331
47.316895	-26.402946	0.69086874
47.416992	-26.403381	0.69022584
47.51709	-26.404566	0.65806913
47.617188	-26.404886	0.64116716
47.717285	-26.404354	0.64890712
47.817383	-26.404312	0.65346426
47.91748	-26.404158	0.64961481
48.017578	-26.404217	0.65710169
48.117676	-26.401693	0.68830729
48.217773	-26.401495	0.70509422
48.317871	-26.400774	0.7283501
48.417969	-26.402029	0.69202638
48.518066	-26.400702	0.72175008
48.618164	-26.400028	0.72654372
48.718262	-26.400309	0.73750585
48.818359	-26.398649	0.77369064
48.918457	-26.399153	0.77635378
49.018555	-26.399899	0.76623631
49.118652	-26.400974	0.73877478
49.21875	-26.400175	0.74094737
49.318848	-26.399664	0.7510767
49.418945	-26.39946	0.76550961
49.519043	-26.398922	0.76504922
49.619141	-26.400465	0.72561634
49.719238	-26.401648	0.69151366
49.819336	-26.404459	0.63083863
49.919434	-26.404482	0.62231863
50.019531	-26.403522	0.64945781
50.119629	-26.403872	0.6435256
50.219727	-26.402695	0.66679174
50.319824	-26.4023	0.66872507
50.419922	-26.402729	0.66653448
50.52002	-26.402245	0.67184955
50.620117	-26.403265	0.64315104
50.720215	-26.403488	0.63967037
50.820313	-26.402952	0.64206344
50.92041	-26.40209	0.65954465
51.020508	-26.401226	0.68227524
51.120605	-26.401678	0.67930079
51.220703	-26.400841	0.68094981
51.320801	-26.39966	0.71915859
51.420898	-26.397791	0.76160794
51.520996	-26.396498	0.78881627
51.621094	-26.396671	0.78803492
51.721191	-26.396437	0.80263138
51.821289	-26.395452	0.81792986
51.921387	-26.394777	0.83126283
52.021484	-26.39526	0.83050728
52.121582	-26.394272	0.82052606
52.22168	-26.394732	0.8043493
52.321777	-26.394365	0.79379052
52.421875	-26.394789	0.80623662
52.521973	-26.395872	0.77568877
52.62207	-26.396055	0.77226776
52.722168	-26.394865	0.78937715
52.822266	-26.394554	0.79190475
52.922363	-26.395924	0.7561813
53.022461	-26.396097	0.75189006
53.122559	-26.395996	0.74641281
53.222656	-26.397028	0.72358686
53.322754	-26.397306	0.70208979
53.422852	-26.39773	0.69783205
53.522949	-26.39739	0.69686908
53.623047	-26.397451	0.69025689
53.723145	-26.397552	0.6803627
53.823242	-26.395914	0.71335506
53.92334	-26.39463	0.74756229
54.023438	-26.394131	0.75909883
54.123535	-26.394485	0.74474847
54.223633	-26.394957	0.7384041
54.32373	-26.394775	0.74432665
54.423828	-26.395382	0.73003185
54.523926	-26.394732	0.73873711
54.624023	-26.393732	0.77758175
54.724121	-26.392555	0.81247646
54.824219	-26.390902	0.84293312
54.924316	-26.391018	0.84420294
55.024414	-26.391951	0.82076204
55.124512	-26.393763	0.78182858
